"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-19","M","45-64","LAMBAYEQUE","CHICLAYO",7
"2020-04-19","M","45-64","LAMBAYEQUE","FERREÑAFE",2
"2020-04-19","M","45-64","LAMBAYEQUE","LAMBAYEQUE",4
"2020-04-19","M","45-64","LIMA","CAÑETE",4
"2020-04-19","M","45-64","LIMA","HUARAL",3
"2020-04-19","M","45-64","LIMA","HUAURA",1
"2020-04-19","M","45-64","LIMA","LIMA",7
"2020-04-19","M","45-64","LORETO","MAYNAS",6
"2020-04-19","M","45-64","PIURA","AYABACA",1
"2020-04-19","M","45-64","PIURA","PAITA",1
"2020-04-19","M","45-64","PIURA","PIURA",7
"2020-04-19","M","45-64","PIURA","SECHURA",2
