"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-10","F","0-17","UCAYALI","CORONEL PORTILLO",1
"2020-04-10","F","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-10","F","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-04-10","F","45-64","CALLAO","CALLAO",1
"2020-04-10","F","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-04-10","F","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-10","F","45-64","LIMA","LIMA",2
"2020-04-10","F","45-64","LORETO","MAYNAS",1
"2020-04-10","F","45-64","PIURA","PIURA",1
"2020-04-10","F","65+","AREQUIPA","AREQUIPA",1
"2020-04-10","F","65+","CALLAO","CALLAO",1
"2020-04-10","F","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-10","F","65+","LIMA","CAÑETE",1
"2020-04-10","F","65+","LIMA","LIMA",11
"2020-04-10","F","65+","LORETO","MAYNAS",1
"2020-04-10","F","65+","PIURA","SULLANA",1
"2020-04-10","M","0-17","LIMA","LIMA",1
"2020-04-10","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-10","M","18-44","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-10","M","18-44","LIMA","LIMA",4
"2020-04-10","M","18-44","LORETO","REQUENA",1
"2020-04-10","M","18-44","PIURA","PIURA",2
"2020-04-10","M","45-64","CALLAO","CALLAO",3
"2020-04-10","M","45-64","ICA","PISCO",1
"2020-04-10","M","45-64","JUNIN","CHANCHAMAYO",1
"2020-04-10","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-10","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-10","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-10","M","45-64","LIMA","LIMA",8
"2020-04-10","M","45-64","LORETO","MAYNAS",1
"2020-04-10","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-04-10","M","65+","ANCASH","HUARMEY",1
"2020-04-10","M","65+","CALLAO","CALLAO",5
"2020-04-10","M","65+","HUANUCO","AMBO",1
"2020-04-10","M","65+","LAMBAYEQUE","CHICLAYO",2
"2020-04-10","M","65+","LAMBAYEQUE","FERREÑAFE",3
"2020-04-10","M","65+","LIMA","HUAURA",1
"2020-04-10","M","65+","LIMA","LIMA",24
"2020-04-10","M","65+","LORETO","MAYNAS",1
"2020-04-10","M","65+","PIURA","PIURA",2
"2020-04-10","M","65+","PIURA","SULLANA",1
"2020-04-10","M","65+","TUMBES","TUMBES",1
"2020-04-11","F","18-44","LIMA","LIMA",1
"2020-04-11","F","18-44","TUMBES","ZARUMILLA",1
"2020-04-11","F","45-64","CAJAMARCA","CAJABAMBA",1
"2020-04-11","F","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-11","F","45-64","LIMA","LIMA",2
"2020-04-11","F","65+","ANCASH","SANTA",1
"2020-04-11","F","65+","CAJAMARCA","CAJAMARCA",1
"2020-04-11","F","65+","CALLAO","CALLAO",1
"2020-04-11","F","65+","ICA","PISCO",1
"2020-04-11","F","65+","LIMA","LIMA",14
"2020-04-11","M","0-17","PIURA","SULLANA",1
"2020-04-11","M","18-44","LIMA","CAÑETE",1
"2020-04-11","M","18-44","LIMA","LIMA",3
"2020-04-11","M","18-44","LORETO","MAYNAS",1
"2020-04-11","M","18-44","PIURA","PIURA",1
"2020-04-11","M","45-64","CALLAO","CALLAO",3
"2020-04-11","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-11","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-11","M","45-64","LIMA","HUARAL",1
"2020-04-11","M","45-64","LIMA","LIMA",13
"2020-04-11","M","45-64","LORETO","MAYNAS",1
"2020-04-11","M","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-04-11","M","65+","AREQUIPA","CONDESUYOS",1
"2020-04-11","M","65+","CALLAO","CALLAO",6
"2020-04-11","M","65+","CUSCO","ANTA",1
"2020-04-11","M","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-11","M","65+","LAMBAYEQUE","CHICLAYO",5
"2020-04-11","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-11","M","65+","LIMA","LIMA",17
"2020-04-11","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-04-12","F","0-17","JUNIN","CHANCHAMAYO",1
